_id,question_number,faculty_id,question_text,image_link_if_any_in_question,question_type,difficulty_tag,option_1,option_2,option_3,option_4,correct_answers
6686c3f93bf177773d3022d0,1,CEN-2105,"Let \\( A \\) be an \\( n \\times n \\) matrix with rank \\( r \\) (\\(0 < r < n\\)). Then \\( AX = 0 \\) has \\( p \\) independent solutions, where \\( p \\) is given by:",NA,Single correct,Easy,n - r,n,r,n+r,1
6686c3f93bf177773d3022d1,2,CEN-2105,Let \\( l \\geq 1 \\) be a positive integer. The dimension of the \\(\\mathbb{R}\\)-vector space of all polynomials in two variables over \\(\\mathbb{R}\\) having a total degree of at most \\( l \\) is:,NA,Single correct,Hard,l+1,$l(l-1)$,$l(l+1)/2$,$l(l+1)(l+2)/2$,4
6686c3f93bf177773d3022d2,3,CEN-2105,"Consider, \\([A]\\) is a matrix of size \\(m \\times n\\), where \\(m\\) being the number of rows and \\(n\\) being the number of columns, and \\(n > m\\). If \\([A]\\) has full rank, which one of the following statements hold TRUE.",NA,Multi correct,Medium,Null space of \\([A]\\) has non-zero vectors.,Null space of \\([A]\\) has no non-zero vectors.,Null space of \\([A]\\) is orthogonal to the column space,Null space of [A] is orthogonal to the left null space,"1,3"
6686c3f93bf177773d3022d3,4,CEN-2105,A vector field in \\(\\mathbb{R}^n\\) is a function,NA,Single correct,Easy,\\( \\mathbf{F} \\rightarrow 0 \\),\\( \\mathbf{F}: \\mathbb{R}^n \\to \\mathbb{R}^n \\)\\n,\\( \\mathbf{F}: \\rightarrow \\mathbb{R}^n \\),\\( \\mathbf{F}:  \\mathbb{R}^n \\rightarrow \\mathbb{R}^n \\),4
6686c3f93bf177773d3022d4,5,CEN-2105,"Consider the following two subsets of vector space \\( V_{2}(\\mathbb{R}) \\):\\n\\[ S_{1} = \\{(x_{1}, x_{2}) \\mid x_{1} + x_{2} \\geq 0\\} \\]\\n\\[ S_{2} = \\{(x_{1}, x_{2}) \\mid x_{1}^2 + x_{2}^2 \\leq 1\\} \\]\\n",NA,Single correct,Medium,"\\( S_{1} \\) is a subspace of \\( V_{2}(\\mathbb{R}) \\), but \\( S_{2} \\) is not.","\\( S_{2} \\) is a subspace of \\( V_{2}(\\mathbb{R}) \\), but \\( S_{1} \\) is not.",Both \\( S_{1} \\) and \\( S_{2} \\) be a subspace of \\( V_{2}(\\mathbb{R}) \\),Neither \\( S_{1} \\)  nor \\( S_{2} \\) in a subspace of \\( V_{2}(\\mathbb{R}) \\),4
6686c3f93bf177773d3022d5,6,CEN-2105,"If \\( V_1 \\) and \\( V_2 \\) are 3-dimensional subspaces of a 4-dimensional vector space \\( V \\), then the smallest possible dimension of \\( V_1 \\cap V_2 \\) is\\n",NA,Single correct,Easy,2,3,4,1,1
6686c3f93bf177773d3022d6,7,CEN-2105,"What is the dimension of the vector space formed by the solutions of the following system of equations?\\nx_1 + x_2 + x_3 = 0,x_1 + 2x_2 = 0 ,x_2 - x_3 = 0\\n\\n",NA,Single correct,Easy,1,2,0,3,1
6686c3f93bf177773d3022d7,8,CEN-2105,"Let \\( S = \\{(-1, 0, 1), (2, 1, 4)\\} \\). The value of \\( k \\) for which the vector \\( (3k + 2, 3, 10) \\) belongs to the linear span of \\( S \\) is:\\n",NA,Single correct,Easy,-3,2,1,8,2
6686c3f93bf177773d3022d8,9,CEN-2105,Let \\(B\\) and \\(C\\) denote subsets of a vector space\\(V\\),NA,Single correct,Easy,"If \\( \\text{span}(BC) \\) and \\( \\text{span}(C) \\) span \\( V \\), then \\( \\text{span}(B) \\) spans \\( V \\).","If \\( BC \\) and \\( C \\) are linearly independent, then \\( B \\) is linearly independent.","If \\( BC \\), then \\( \\text{span}(C) = \\text{span}(B) \\).","If \\( BC \\) and \\( C \\) are linearly dependent, then \\( B \\) is linearly dependent",2
6686c3f93bf177773d3022d9,10,CEN-2105,"Let \\(\\{u, v, w, z\\}\\) be independent vectors in a vector space \\(V\\).",NA,Single correct,Easy,"\\(\\{u + v, v + w, w + z, z + u\\}\\) spans \\(V\\)"," \\(\\{u + v, v + w, w + z, z + u\\}\\) is independent","\\(\\text{Span}(\\{u + v, v + w, w + z, z + u\\})\\) is contained in \\(\\text{Span}(\\{u, v, w, z\\})\\)","\\(\\{u + v, v + w, w + z, z + u\\}\\) is a basis of \\(V\\)",3
