_id,question_number,faculty_id,question_text,image_link_if_any_in_question,question_type,difficulty_tag,option_1,option_2,option_3,option_4,correct_answers
6686c4c53bf177773d3022e9,1,CEN-2109,\\nConsider the matrix \\( A \\) given by:\\n\\[ A = \\begin{pmatrix} 4 & 1 & 2 \\\\ 0 & 3 & -1 \\\\ 0 & 0 & 2 \\end{pmatrix} \\]\\nFind the eigenvalues for the matrix \\( A \\).\\n,NA,Single correct,Easy,"\\n\\(0,9\\)\\n","\\n\\(0,9\\)\\n\\n","\\n\\(4,5\\)\\n","\\(0,8\\)\\n",1
6686c4c53bf177773d3022ea,2,CEN-2109,"\\nIn the context of principal component analysis (PCA), what do the eigenvectors of the covariance matrix represent?\\n",NA,Single correct,Medium,\\nThe variance of the data\\n,\\nThe principal components of the data \\n,\\nThe mean of the data \\n,The data points themselves \\n,2
6686c4c53bf177773d3022eb,3,CEN-2109,\\nThe number of linearly independent eigenvectors of matrix A is \\n,https://drive.google.com/file/d/1TUGHa_rYPmQeFxT8JGIj0ddOrOc7v74k/view?usp=drive_link,Single correct,Medium,2,3,4,1,1
6686c4c53bf177773d3022ec,4,CEN-2109,\\nWhich of the following is/are the eigenvector(s) for the matrix given below?\\n,https://drive.google.com/file/d/1wWLQSdQpKAIHhJKy1b2nSyB0r0G52EE5/view?usp=drive_link,Multi correct,Medium,https://drive.google.com/file/d/1Y0r4mPMCIAIaYn2wj4Mw_kZYv_dzl29J/view?usp=drive_link,https://drive.google.com/file/d/1f36I7jEBcI9Lp3OZiRX3Jqpm2EVi7qgo/view?usp=drive_link,https://drive.google.com/file/d/1Ckbg_9ILHBrtH3YFq3pDcl0j1Z3c08aK/view?usp=drive_link,https://drive.google.com/file/d/1VPwjSVZWvKvnUhOb58FZP1kQL2WrrFCN/view?usp=drive_link,"1,3,4"
6686c4c53bf177773d3022ed,5,CEN-2109,Let M be a 2x2 matrix with the property that the sum of each of the rows and also the sum of each of the columns is the same constant c. Which of the vector is an eigenvvector of M?,https://drive.google.com/file/d/1VUCqbpoai1J6-oj_p_a5QWAlx1GBZjzf/view?usp=drive_link,Single correct,Hard,\\nU\\n\\n,\\nV\\n\\n,\\nW\\n\\n,\\nNone\\n,3
6686c4c53bf177773d3022ee,6,CEN-2109,Consider matrix M given and select which one of the following statements is True from the options.,https://drive.google.com/file/d/1FWgUGP9PTQwVxDMtlpPXJCSD66KktKhu/view?usp=drive_link,Single correct,Medium,\\nThe eigenvalues of M are non-negative and real.\\n,\\nThe eigenvalues of M are complex conjugate pairs.\\n,"\\nOne eigenvalue of M is positive and real, and another eigenvalue of is zero.\\n","\\nOne eigenvalue of M is non-negative and real, and another eigenvalue of M is negative and real.\\n",2
6686c4c53bf177773d3022ef,7,CEN-2109,Consider a 5x5 matrix A. Its given that A has only 1 real eigen value. Real eigen value of A is,https://drive.google.com/file/d/1a0ekey_FiEERCmO2I_sJMvvvUVitjIe0/view?usp=drive_link,Single correct,Hard,-25,0,15,25,3
6686c4c53bf177773d3022f0,8,CEN-2109,\\nThe value of x for which the matrix A has zero as an eigenvalue\\n,https://drive.google.com/file/d/1bWP0-EmuJ-bXdZbRtht-14y_TAmjRVjZ/view?usp=drive_link,Single correct,Medium,1,2,0,4,1
6686c4c53bf177773d3022f1,9,CEN-2109,\\nThe value for x for which the eigen values of the matrix given below are real is\\n,https://drive.google.com/file/d/1ylWUyxTwBeu4I60c_0ZVj-LxlEzoTeXw/view?usp=drive_link,Single correct,Hard,\\n5 + j\\n,\\n5 - j\\n\\n,5,\\n j\\n\\n,2
6686c4c53bf177773d3022f2,10,CEN-2109,"\\nThe determinant of a \\n matrix is \\n If one eigenvalue of the 2 x 2 matrix is 10, the other eigenvalue is\\n",NA,Single correct,Medium,5,10,1,2,1
6686c4c53bf177773d3022f3,11,CEN-2109,\\nThe product of eigenvalues in a matrix P is equal to\\n,https://drive.google.com/file/d/170HBTB52ISIgi9FnadzM9X4iGyE83pQn/view?usp=drive_link,Single correct,Easy,-6,2,6,-2,2
6686c4c53bf177773d3022f4,12,CEN-2109,A real square matrix A\\n is called skew-symmetric if,NA,Single correct,Easy,A^T = A,A^T = A^{-1},A^T = -A,A^T = A + A^{-1),3
6686c4c53bf177773d3022f5,13,CEN-2109,The condition for which the eigenvalues of the matrix A are positive is,https://drive.google.com/file/d/1YHL3t4k6T5sAwJnyX59C1hKpTS9G-wwA/view?usp=drive_link,Single correct,Easy,K > \\frac{1}{2},k < \\frac{1}{2},k = \\frac{1}{2}\\n,k < \\frac{1}{3}\\n,1
6686c4c53bf177773d3022f6,14,CEN-2109,The solution to the system of equations is ,https://drive.google.com/file/d/1uwLZb2DNRwkoHZXS-YelBYnb7jDtzNRJ/view?usp=drive_link,Single correct,Medium,"6,2","-6,2","-6,-2","6,-2",4
6686c4c53bf177773d3022f7,15,CEN-2109,At least one eigen value for a singular matrix is,NA,Single correct,Easy,IMAGINARY,POSITIVE,ZERO,NEGATIVE,3
6686c4c53bf177773d3022f8,16,CEN-2109,"\\text{Which one of the following equations is a correct identity for arbitrary } 3 \\times 3 \\text{ real matrices } \\mathbf{P}, \\mathbf{Q}, \\text{ and } \\mathbf{R}?",NA,Single correct,Hard,https://drive.google.com/file/d/1BcKHGO1eQ7ixjKLia-8rOY0hlExchapD/view?usp=drive_link,https://drive.google.com/file/d/1B8A5CC5XynQCmzFwPvGkT1Zq8AuQV2Gp/view?usp=drive_link,https://drive.google.com/file/d/1W-QfyruBZUQx3-mU8qs3PO0o2JyLW46G/view?usp=drive_link,https://drive.google.com/file/d/1v-SAkxB4ptNzC-vo2IEV-4xh65f-Eq6E/view?usp=drive_link,4
6686c4c53bf177773d3022f9,17,CEN-2109,"The state equation of a second order system is given, initial condition. Suppose lambda1 and lambda2 are 2 distinct eigenvalues of A and v1 and v2 are the coressponding eigenvectors. For constants a1 and a2 the solution of the state equation is:",https://drive.google.com/file/d/1QxyEIEelTh_M5CmLz_iC36sZLtiZdTNv/view?usp=drive_link,Single correct,Hard,https://drive.google.com/file/d/12N78JbIBvA4O6uE8p88cpbSUIXjJ5kza/view?usp=drive_link,https://drive.google.com/file/d/1rMLbhmI3Cvd7rbA5qjbLVU7bx8djwSUK/view?usp=drive_link,https://drive.google.com/file/d/1gE0YanCFXpASaifya3hTAI-OxAUF6qOW/view?usp=drive_link,https://drive.google.com/file/d/1pkaep7_GAfLuJCb20kUzCWmFSS558HRZ/view?usp=drive_link,1
6686c4c53bf177773d3022fa,18,CEN-2109,Matrix \\( M \\) is defined as \\n\\[ M = \\begin{bmatrix} 1 & 3 \\\\ 4 & 2 \\end{bmatrix} \\]\\nand has eigenvalues \\( 5 \\) and \\( -2 \\). The matrix \\( Q \\) is formed as \\n\\[ Q = M^3 - 4M^2 - 2M \\]\\nWhich of the following is/are the eigenvalues of matrix \\( Q \\)?,NA,Multi correct,Medium,15,25,-20,-30,"1,3"
6686c4c53bf177773d3022fb,19,CEN-2109,"Solve the system of equations:\\n\\begin{align*}\\n3x + 2y - 6z &= 1, \\\\\\n2x - 3y + 3z &= -1, \\\\\\nx - 4y + z &= -6.\\n\\end{align*}",NA,Single correct,Easy,"1,-2,1","1,1,2","2,1,1","1,2,1",4
6686c4c53bf177773d3022fc,20,CEN-2109,"Let the sets of eigenvalues and eigenvectors of a matrix \\( B \\) be \\(\\{\\lambda_k \\mid 1 \\leq k \\leq n\\}\\) and \\(\\{v_k \\mid 1 \\leq k \\leq n\\}\\), respectively. For any invertible matrix \\( P \\), the sets of eigenvalues and eigenvectors of the matrix \\( A \\), where \\( B = P^{-1}AP \\), respectively, are\\n",NA,Single correct,Hard,https://drive.google.com/file/d/1i_RpbQ9ZAVDv_3zpPulj_XrD9-qtknca/view?usp=drive_link,https://drive.google.com/file/d/19eIppmyCTcxcAjBcToikRxrhz6nYsAmL/view?usp=drive_link,https://drive.google.com/file/d/1PqHewJahGkVj3lt8eDdMWv0GfmsKx6Ha/view?usp=drive_link,https://drive.google.com/file/d/1WBhPxnnG6GDsFtwyC8-E6LNANUdpY4zR/view?usp=drive_link,3
6686c4c53bf177773d3022fd,21,CEN-2109,"Consider the matrix \\( A = \\begin{bmatrix} 50 & 70 \\\\ 70 & 80 \\end{bmatrix} \\) whose eigenvectors corresponding to eigenvalues \\( \\lambda_1 \\) and \\( \\lambda_2 \\) are \\( x_1 = \\begin{bmatrix} 70 \\\\ \\lambda_1 - 50 \\end{bmatrix} \\) and \\( x_2 = \\begin{bmatrix} \\lambda_2 - 80 \\\\ 70 \\end{bmatrix} \\), respectively. The value of \\( x_1^T x_2 \\) is\\n",NA,Single correct,Medium,0,1,2,3,1
6686c4c53bf177773d3022fe,22,CEN-2109,,,,,,,,,
6686c4c53bf177773d3022ff,23,CEN-2109,,,,,,,,,
6686c4c53bf177773d302300,24,CEN-2109,,,,,,,,,
6686c4c53bf177773d302301,25,CEN-2109,,,,,,,,,
