_id,question_number,faculty_id,question_text,image_link_if_any_in_question,question_type,difficulty_tag,option_1,option_2,option_3,option_4,correct_answers
6686c2f13bf177773d3022b6,1,CEN-2103,Which of the following are properties of an orthonormal basis? \\n,NA,Multi correct,Easy,All vectors have unit length,The vectors are mutually orthogonal,The number of vectors equals the dimension of the space, The vectors are linearly dependent,"1,2,3"
6686c2f13bf177773d3022b7,2,CEN-2103,Which of the following matrices are orthogonal?,NA,Multi correct,Medium,https://drive.google.com/file/d/1iHF1r30lwz590FAjauFZtWl4NHFuKLKZ/view?usp=drive_link,https://drive.google.com/file/d/1gaXkPD7x0OfnHIUriaxxF6bziFzmj7wB/view?usp=drive_link,https://drive.google.com/file/d/1kEJ9kfDb0CMD4HM66OWK8eKguNf2Wo-0/view?usp=drive_link,https://drive.google.com/file/d/16g6dRinQ_pjRgwO1B6Mn0i-4VDVoH0X6/view?usp=drive_link,"1,2,3"
6686c2f13bf177773d3022b8,3,CEN-2103,"In a finite-dimensional inner product space  \\( V \\), let \\( W \\) be a subspace of \\( V \\). Which of the following statements are true?",NA,Multi correct,Hard,\\[ V = W \\oplus W^\\perp \\]\\n(where \\( W^\\perp \\) is the\\n orthogonal complement of \\( W \\)),\\[ \\dim(W) + \\dim(W^\\perp) \\n= \\dim(V) \\],\\[ (W^\\perp)^\\perp = W \\],"If \\( \\{v_1, \\ldots, v_k\\} \\) is an \\northonormal basis for \\( W \\), \\nthen it can be extended to \\nan orthonormal basis for \\( V \\)","1,2,3,4"
6686c2f13bf177773d3022b9,4,CEN-2103,Which of the following can form a basis for \\( \\mathbb{R}^3 \\)?,NA,Multi correct,Easy,https://drive.google.com/file/d/1ifKR0c-1GAS_aTwqeh-7eW7O0lie2cx1/view?usp=drive_link,https://drive.google.com/file/d/1TwbmdwTaulJyqhbz6AhE0V4c-k3dq7-p/view?usp=drive_link,https://drive.google.com/file/d/1jmjDDsrH7MmE1x5p8yiL93zel2Yg4lYJ/view?usp=drive_link,https://drive.google.com/file/d/1SObRrHfGi97Y69Zo0qWs0tM2YUTM2Cgd/view?usp=drive_link,"1,2,4"
6686c2f13bf177773d3022ba,5,CEN-2103,For which of the following sets of vectors is the Gram-Schmidt process unnecessary? ,NA,Multi correct,Medium,An already orthogonal set of vectors,A set of unit vectors,An orthonormal set of vectors,A set of linearly independent vectors,"1,3"
6686c2f13bf177773d3022bb,6,CEN-2103,Let \\( A \\) be an \\( n \\times n \\) orthogonal matrix. Which of the following is always true?\\n,NA,Single correct,Hard,A^T = A,A^T = A^{-1},\\det(A) = 1,\\operatorname{tr}(A) = n,2
6686c2f13bf177773d3022bc,7,CEN-2103,"In an n-dimensional vector space, what is the maximum number of mutually orthogonal vectors?\\n",NA,Single correct,Hard,n-1,n ,n+1, 2n,2
6686c2f13bf177773d3022bd,8,CEN-2103,"If vectors \\( \\mathbf{u} \\) and \\( \\mathbf{v} \\) are orthogonal, what is true about \\ntheir dot product?",NA,Single correct,Medium,\\mathbf{u} \\cdot \\mathbf{v} = 1,\\mathbf{u} \\cdot \\mathbf{v} = 0\\n,\\mathbf{u} \\cdot \\mathbf{v} = -1\\n,\\mathbf{u} \\cdot \\mathbf{v} = |\\mathbf{u}| |\\mathbf{v}|\\n,2
6686c2f13bf177773d3022be,9,CEN-2103,What is the dimension of the null space of an \\( m \\times n \\) matrix with rank \\( r \\)?,NA,Single correct,Easy,m,n ,r,n-r,4
6686c2f13bf177773d3022bf,10,CEN-2103,"If a set of vectors \\( \\{ \\mathbf{v}_1, \\mathbf{v}_2, \\ldots, \\mathbf{v}_n \\} \\) \\nforms a basis for a vector space \\( V \\), what can be said about any \\nvector \\( \\mathbf{w} \\) in \\( V \\)?\\n",NA,Single correct,Medium,\\mathbf{w} \\text{ is orthogonal to all } \\mathbf{v}_i\\n,\\mathbf{w} \\text{ can be expressed\\n as a unique linear combination\\n of the } \\mathbf{v}_i\\n,\\mathbf{w} \\text{ must be a\\n scalar multiple of one of the } \\mathbf{v}_i\\n,\\mathbf{w} \\text{ must be\\n orthogonal to at least one } \\mathbf{v}_i\\n,2
