question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer,
,,,,,,,,,,,
1,CEN-2101,Which of the following is a vector space?,N/A,Easy,Single correct,The set of all positive real numbers with usual addition and multiplication.,The set of all complex numbers with usual addition and multiplication.,The set of all rational numbers with usual addition and multiplication.,The set of all integers with usual addition and multiplication.,2,
2,CEN-2101,Which of the following is not a vector space?,N/A,Easy,Single correct,The set of all polynomials with real coefficients,"The set of all continuous real-valued functions on $[0,1]$.",The set of all $2 \times 2$ matrices with real entries.,The set of all real numbers with absolute value as the norm.,4,
3,CEN-2101,Which of the following sets is closed under vector addition and scalar multiplication?,N/A,Easy,Single correct,The set of all non-negative integers.,The set of all $3 \times 3$ invertible matrices.,The set of all polynomials of degree at most 3.,The set of all bounded real-valued functions.,3,
4,CEN-2101,"In \(\mathbb{R}^2\), which of the following pairs of vectors are linearly dependent?",N/A,Medium,Single correct,"$(1, 0)$ and $(0, 1)$","$(1, 1)$ and $(2, 2)$","$(1, 2)$ and $(2, -1)$","$(1, -1)$ and $(2, 1)$",2,
5,CEN-2101,Which of the following is a property of all vector spaces?,N/A,Easy,Single correct,Every element has a multiplicative inverse.,Vector addition is associative.,Every element has a unique additive inverse.,Scalar multiplication is commutative.,3,
6,CEN-2101,Which of the following is a subspace of $\b{R}^3$?,N/A,Easy,Single correct,"The set of all vectors $(x, y, z)$ such that $x = 2y + 3z$.","The set of all vectors $(x, y, z)$ such that $x + y = 1$.","The set of all vectors $(x, y, z)$ such that $x, y, z \geq 0$.","The set of all vectors $(x, y, z)$ such that $x^2 + y^2 + z^2 = 1$.",1,
7,CEN-2101,A subspace of a vector space must:,N/A,Easy,Single correct,Contain the zero vector.,Be finite-dimensional.,Be orthogonal to the original space.,Have the same dimension as the original space.,1,
8,CEN-2101,Which of the following is true for any subspace \(W\) of a vector space \(V\)?,N/A,Easy,Single correct,\(W\) is always finite-dimensional.,\(W\) contains all the elements of \(V\).,\(W\) is closed under addition and scalar multiplication.,The dimension of \(W\) is greater than or equal to the dimension of \(V\).,3,
9,CEN-2101,Which of the following sets of vectors are linearly dependent?,N/A,Easy,Single correct,"\(\{(1, 2), (3, 4)\}\)","\(\{(1, 0), (0, 1)\}\)","\(\{(1, 1), (2, 2)\}\)","\(\{(1, -1), (2, 2)\}\)",3,
10,CEN-2101,"If vectors \( \mathbf{v}_1, \mathbf{v}_2, \mathbf{v}_3 \) in \(\mathbb{R}^3\) are linearly independent, which of the following must be true?",N/A,Medium,Single correct,$v_1 \cdot v_2 = 0$,$v_1 + v_2 + v_3 = 0$,"$v_1, v_2, v_3$ span $\{R}^3$",There exists a scalar $\alpha$ such that $v_1 + \alpha v_2 = v_3$,3,
11,CEN-2101,Which of the following statements is true?,N/A,Medium,Single correct,A set of vectors is linearly dependent if one of the vectors is a linear combination of the others.,A set of vectors is linearly dependent if and only if the determinant of the matrix formed by the vectors as columns is non-zero.,A set of vectors is linearly independent if one of the vectors is the zero vector.,A set of vectors is linearly dependent if the vectors do not span the vector space.,1,
12,CEN-2101,The dimension of the vector space $\b{R}^n$ is:,N/A,Medium,Single correct,$n-1$,$n$,$n+1$,$2n$,2,
13,CEN-2101,A basis for a vector space \(V\) is:,N/A,Easy,Single correct,Any set of vectors that span \(V\).,Any set of linearly independent vectors in \(V\).,Any set of \(n\) vectors in \(V\).,A set of linearly independent vectors that span \(V\).,4,
14,CEN-2101,"If a vector space \(V\) has a basis of \(n\) vectors, then:",N/A,Easy,Single correct,"If a vector space \(V\) has a basis of \(n\) vectors, then:",Any \(n-1\) vectors in \(V\) are linearly independent.,Any \(n\) vectors in \(V\) span \(V\).,Any set of \(n\) vectors in \(V\) is a basis for \(V\).,2,
15,CEN-2101,Which of the following statements is false?,N/A,Easy,Single correct,The columns of an invertible matrix form a basis for \(\b{R}^n\).,The number of vectors in a basis for a finite-dimensional vector space is the same for all bases.,Any subset of a linearly independent set of vectors is also linearly independent.,The zero vector can be part of a basis for a vector space.,4,
16,CEN-2101,Which of the following is a necessary condition for two matrices to be similar?,N/A,Easy,Single correct,They must have the same determinant.,They must have the same trace.,They must have the same rank.,They must have the same characteristic polynomial.,4,
17,CEN-2101,The Gram-Schmidt process is used to:,N/A,Easy,Single correct,Solve systems of linear equations.,Find the determinant of a matrix.,Convert a set of vectors into an orthogonal set.,Diagonalize a matrix.,3,
18,CEN-2101,Which of the following is true for the eigenvalues of a real symmetric matrix?,N/A,Easy,Single correct,They are always real.,They are always positive.,They are always distinct.,They are always complex.,1,
19,CEN-2101,The rank of a matrix is:,N/A,Easy,Single correct,The number of pivot positions in its row echelon form.,The number of zero rows in its row echelon form.,The dimension of the null space.,The trace of the matrix.,1,
20,CEN-2101,"If the determinant of a square matrix \(A\) is zero, then:",N/A,Easy,Single correct,The columns of \(A\) are linearly independent.,The rows of \(A\) are linearly independent.,\(A\) is invertible.,The columns of \(A\) are linearly dependent.,4,
21,CEN-2101,"In a vector space \(V\) of dimension \(n\), any set of more than \(n\) vectors must be:",N/A,Easy,Single correct,Linearly independent.,Linearly dependent.,A basis for \(V\).,Orthogonal.,2,
22,CEN-2101,"If a set of vectors spans a vector space \(V\) and one of the vectors is removed from the set, then the new set:",N/A,Easy,Single correct,Still spans \(V\).,Is linearly dependent.,Is linearly independent.,May not span \(V\).,4,
23,CEN-2101,Two vectors \( \mathbf{u} \) and \( \mathbf{v} \) in an inner product space are orthogonal if:,N/A,Medium,Single correct,\( \f{u} \cdot \f{v} = 1 \),\( \f{u} \cdot \f{v} = 0 \),\( \f{u} + \f{v} = 0 \),\( \f{u} - \f{v} = 0 \),2,
24,CEN-2101,The orthogonal projection of a vector \( \f{v} \) onto a subspace \( W \) is:,N/A,Medium,Single correct,The component of \( \V \) orthogonal to \( W \).,The component of \( \V \) parallel to \( W \).,The sum of \( \V \) and a vector in \( W \).,A vector orthogonal to \( \V \).,2,
25,CEN-2101,"In \(\mathbb{R}^n\), the dot product of two vectors \( \mathbf{u} \) and \( \mathbf{v} \) is:",N/A,Easy,Single correct,The sum of their magnitudes.,The product of their magnitudes.,The sum of the products of their corresponding components.,The difference of the products of their corresponding components.,3,
26,CEN-2101,A system of linear equations has a unique solution if:,N/A,Easy,Single correct,The coefficient matrix is singular.,The coefficient matrix is non-singular.,The augmented matrix has a row of zeros.,The determinant of the coefficient matrix is zero.,1,
27,CEN-2101,The null space of a matrix \( A \) is:,N/A,Easy,Single correct,The set of all solutions to \( Ax=0 \).,The set of all solutions to \( Ax = b \).,The row space of \( A \).,The column space of \( A \).,1,
28,CEN-2101,"If a matrix \( A \) is \( 3 \times 3 \) and has a rank of 2, then the dimension of the null space of \( A \) is:",N/A,Easy,Single correct,0,1,2,3,1,
29,CEN-2101,The dimension of the column space of a matrix \( A \) is equal to:,N/A,Easy,Single correct,The number of rows of \( A \).,The number of columns of \( A \).,The rank of \( A \).,The nullity of \( A \).,3,
30,CEN-2101,Which of the following is a characteristic property of the trace of a square matrix?,N/A,Easy,Single correct,It is the sum of the elements on the main diagonal of the matrix.,It is the determinant of the matrix.,It is always positive.,It is the product of the eigenvalues of the matrix.,1,
31,CEN-2101,The determinant of a matrix \( A \) is zero if and only if:,N/A,Easy,Single correct,\( A \) has no eigenvalues.,The columns of \( A \) are linearly independent.,\( A \) is singular.,\( A \) is invertible.,3,
