question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,language,question_type,student_solution,reference_solution,test_case_1,test_case_2,test_case_3,test_case_4,test_case_5
1,21001,"Find the GCD of two numbers x,y without using recursion",NA,Easy,Python,Fill in the blank,https://drive.google.com/file/d/1vmb4TsY-PfAtu85Fx3ct9GLe6mEQzgk4/view?usp=drive_link,https://drive.google.com/file/d/1fQLFyhLg1zdXAUcw7vzpMglvTnILqGXw/view?usp=drive_link,"(12,8)","(5,0)","(0,0)","(1,10)",
2,21001,"Find the LCM oif two numbers x,y without the use of GCD",NA,Medium,Python,Fill in the blank,https://drive.google.com/file/d/1O6SLDrBAj5TW3bLu4PgqFO_ByQVhVsmP/view?usp=drive_link,https://drive.google.com/file/d/1ETtJDZtWclTwp41xd3DZzYUwxwFZNgsx/view?usp=drive_link,"(9,9)","(5,7)","(10,5)","(9,9)",
3,21001,"Perform 1-dimensional convolution of vectors x and h
",NA,Hard,Matlab,Fill in the blank,https://drive.google.com/file/d/1xE44V91t-9SkbPSM2CZ2fZojP_o5en18/view?usp=drive_link,https://drive.google.com/file/d/1Rx0AZe_0jv8DsfNYvJFn5UKLXuWY9oDI/view?usp=drive_link,"([1, 2, 3],[0, 1, 0.5])","([1, 2, 3, 4],[1])","([0, 0, 0],[1, 2, 3])","([2],[3])",
4,21001,Solve the system of linear equations (\Ax=b\) using methods specified,NA,Medium,Matlab,Fill in the blank,https://drive.google.com/file/d/1BgKfq5F_G9B8g9tIVWE-Ys-Xp4ak7cym/view?usp=drive_link,https://drive.google.com/file/d/1XHBnAVyX1OWQAKua9Xy_HAoPvCZDA0q6/view?usp=drive_link,"([3, 1; 2, 4],[7; 10])","([2, 4; 1, 2],[8; 4])","([10, 2; 3, 4],[14; 7])",,
5,21001,"Check whether the given number is prime or not, return True if it is prime or False",NA,Medium,Python,Fill in the blank,https://drive.google.com/file/d/17D_Y-G_o11tElZXiYri6xvR3ip5_NMLq/view?usp=drive_link,https://drive.google.com/file/d/1euk_u1bhSjbBKzWxAsngNd3pt1GPq3JG/view?usp=drive_link,2,1,4,11,
6,21168,Write a code to find out the factorial of a number RECURSIVELY,NA,Easy,Python,Fill in the blank,https://drive.google.com/file/d/1d175c1-RFzsvD1m4t96K8uUgim79Hry8/view?usp=drive_link,https://drive.google.com/file/d/1Uwnegh4nCAt6KQZIwosTEIKpqfrDyE7B/view?usp=drive_link,2,3,4,10,
7,21168,Write code to find out whether number is odd or even,NA,Easy,Python,Full function,https://drive.google.com/file/d/1b6HqxUU3nTzaF0cColBoms2NX4canq_l/view?usp=drive_link,https://drive.google.com/file/d/18_yIsWAApHwgGNN3Kb-hlyGG4-z77pOJ/view?usp=drive_link,56,97,56,54,43
8,21168,Write a python code to generate the fibonnaci sequence,NA,Medium,Python,Fill in the blank,https://drive.google.com/file/d/17V5UrIMceOBE6jOgVy8t6UGg7gwpi_l1/view?usp=drive_link,https://drive.google.com/file/d/13oY9sGLPIdp4hwetXOozYdPBYtrqlMtK/view?usp=drive_link,3,,,,
9,21168,Python code to generate an inverted triangle pattern of asterisks (*),NA,Hard,Python,Fill in the blank,https://drive.google.com/file/d/17BvEcJI-QeQss3xQIeVmoP3cAAJUl2eo/view?usp=drive_link,https://drive.google.com/file/d/1Dnp2gxfJSZnzaep1jt8trCUso6Snt3OY/view?usp=drive_link,5,,,,
10,21168,Python code to generate a triangle pattern of asterisks (*),NA,Hard,Python,Fill in the blank,https://drive.google.com/file/d/18dwFO_gntPZJGXJlLAYvHW3_U-AsEK7w/view?usp=drive_link,https://drive.google.com/file/d/1Ygd9Flh9NxxHslKmVm2DboKQsVqiIpiQ/view?usp=drive_link,5,,,,
11,21038,"Write the function to find minimum of 3 numbers a,b,c",NA,Medium,Python,Full function,https://drive.google.com/file/d/1WYM1RQI8ekYtI6IAtQKKWIpsx0pLASq7/view?usp=drive_link,https://drive.google.com/file/d/1vcbKXfUFSam3mGKDxEJxuzWVJj3GBd4a/view?usp=drive_link,"(10,5,7)","(-5,-3,-10)","(9,1,5)",,
