question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
,,,,,,,,,,
6,FID6,"If \( f(x) = x - \lfloor x \rfloor \), then \( f(x) \) is discontinuous",NA,Easy,Single correct,\( \forall x \in \mathbb{Z} \),\( \forall x \in \mathbb{Q} \),\( \forall x \in \mathbb{R} \),\( \text{at every real number except integers.} \),4
7,FID7,The interval in which Lagrange's theorem is applicable for the function \( f(x) = x \) is,NA,Easy,Single correct,"\( [-3, 3] \)","\( [-2, 2] \)","\( [2, 3] \)","\( [-1, 1] \)",3
8,FID8,"If \( f(x) = 3x^4 + 4x^2 + 5 \), then the interval for which \( f(x) \) satisfies all the conditions of Rolle's theorem is",NA,Easy,Single correct,"\( [0, 2] \)","\( [-1, 1] \)","\( [-1, 0] \)","\( [1, 2] \)",2
9,FID9,"If \( f(x) \), then in the interval \([-1, 1]\), \( f(x) \) is \\",NA,Easy,Single correct,satisfied all the conditions of Rolle's theorem,satisfied all the conditions of the Mean Value theorem,does not satisfy the conditions of the Mean Value theorem,none of these,3
10,FID10,"\( f \) and \( \mathrm{F} \) be both continuous in \( [a, b] \) and are derivable in \( (a, b) \) and if \( f^{\prime}(x)=\mathrm{F}^{\prime}(x) \) for all \( x \) in \( (a, b) \), then \( f(x) \) and \( \mathrm{F}(x) \) differ",NA,Easy,Single correct,"By 1 in \([a, b]\)","By \( x \) in \((a, b)\)","By constant in \([a, b]\)",None of these,3
11,FID11,\( x^{1 / x} \) is a decreasing function if,NA,Easy,Single correct,\( x < e \),\( x > e \),\( x = e \),\( x > \frac{1}{e} \),3
12,FID12,\( 1-\frac{x^{2}}{\underline{2}}+\frac{x^{4}}{\lfloor 4}+\ldots+(-1)^{n} \frac{x^{2 n}}{\underline{2 n}}+(-1)^{n+1} \frac{x^{2 n+1}}{2 n+1} \sin \theta x \) is equal to,NA,Easy,Single correct,\( \sin x \),\( \cos x \),\( \tan x \),\( \log x \),2
13,FID13,Taylor's expansion of the function \( f(x)=\frac{1}{1+x^{2}} \) is,NA,Medium,Single correct,\( \sum_{n=0}^{\infty}(-1)^{n} x^{2 n} \) where \( -1 < x < 1 \),\( \sum_{n=0}^{\infty}(-1)^{n} x^{2 n} \) for all real \( x \),\( \sum_{n=0}^{\infty} x^{2 n} \) where \( -1 < x < 1 \),\( \sum_{n=0}^{\infty}(-1)^{n} x^{n} \) where \( -1 < x < 1 \),2
15,FID15,"If \( f(x)=a x+b, x \in[-1,1] \), then the point \( c \in(-1,1) \) where \( f^{\prime \prime}(\mathrm{c})=\frac{f(1)-f(-1)}{2} \)",NA,Easy,Single correct,does not exist,"can be any \( c \in (-1,1) \)",can be only \( \frac{1}{2} \),can be only \( -\frac{1}{2} \),2
16,FID16,"Let \( f(x)=x(x-1)(x-2), a=0, b=\frac{1}{2} \). The value of ' c ' in the Lagrange's mean value theorem is",NA,Easy,Single correct,\( \frac{6+\sqrt{11}}{6} \),\( \frac{6-\sqrt{11}}{6} \),\( \frac{6+\sqrt{-12}}{6} \),\( \frac{6-\sqrt{21}}{6} \),4
17,FID17,Maxima and Minima occur,NA,Easy,Single correct,simultaneously,once,alternately,rarely,3
18,FID18,The triangle of maximum area inscribed in a circle of radius r is,NA,Easy,Single correct,a right angled triangle with hypotenuse measuring 2r,an equilateral triangle,an isosceles triangle of height r,does not exist,2
19,FID19,"If \( x+y=k, x > 0, y > 0 \), then \( x y \) is the maximum when",NA,Easy,Single correct,\( x=k y \),\( k x=y \),\( x=y \),none of these,4
20,FID20,"Sum of the perimeters of a circle and a square is l. If the sum of area is least, then",NA,Easy,Single correct,side of the square is double the radius of the circle,side of the square is half of the radius of the circle,side of the square is equal to radius of the circle,None of these,1
21,FID21,Which of the following is false?,NA,Medium,Single correct,\( f(a) \) is an extreme value of \( f(x) \) if \( f'(a) = 0 \),"If \( f(a) \) is an extreme value of \( f(x) \), then \( f'(a) = 0 \)","If \( f'(a) = 0 \), then \( f(a) \) is an extreme value of \( f(x) \)",None of these,1
22,FID22,Let \( f(x) = |x| \) then,NA,Easy,Single correct,\( f'(0) = 0 \),\( f(x) \text{ is maximum at } x = 0 \),\( f(x) \text{ is minimum at } x = 0 \),none of these,3
23,FID23,"The greatest and the least value of \( f(x)=x^{4}-8 x^{3}+22 x^{2}-24 x+1 \) in \( [0,2] \) are",NA,Easy,Single correct,"0,8","0,-8","1,8","1,-8",4
24,FID24,The function \( f(x)=x^{5}-5 x^{4}+5 x^{3}-1 \) has,NA,Easy,Single correct,one minima and two maxima,one minima and one maxima,two minima and one maxima,two minima and two maxima,2
25,FID25,"The maximum value of \( \frac{\log x}{x} \) in \( (0, \infty) \) is",NA,Easy,Single correct,\( e \),\( \frac{1}{e} \),1,None of these,2
26,FID26,Maximum volume of a cylinder in a cone with semi vertical angle' \( \alpha \) ' and height ' \( b \) ' is,NA,Easy,Single correct,\( \frac{4}{27} \pi b^{3} \tan ^{2} \alpha \),\( \frac{4}{27} \pi b^{2} \tan \alpha \),\( \frac{4}{27} \pi b \tan ^{3} \alpha \),None of these,1
27,FID27,The maximum point on the curve \( x=e^{x} y \) is,NA,Easy,Single correct,"\( (1, e) \)","\( \left(1, e^{-1}\right) \)","\( (e, 1) \)","\( \left(e^{-1}, 1\right) \)",2
